mbid,sid,position,height,measure_base,recorded
280,352,-148.5,0.5,"left","2020-09-1019:20:22.648027"
280,353,1.5,-1.6,"left","2020-09-1019:20:22.648027"
280,354,250,-1.8,"left","2020-09-1019:20:22.648027"
280,355,600,1.8,"left","2020-09-1019:20:22.648027"
280,356,950,2.9,"left","2020-09-1019:20:22.648027"
280,357,1300,4.4,"left","2020-09-1019:20:22.648027"
280,358,1650,5.9,"left","2020-09-1019:20:22.648027"
280,359,2000,-0.3,"left","2020-09-1019:20:22.648027"
280,360,2350,-0.2,"left","2020-09-1019:20:22.648027"
280,361,2700,-0.1,"left","2020-09-1019:20:22.648027"
280,362,3050,2.9,"left","2020-09-1019:20:22.648027"
280,363,3298.5,-1.4,"left","2020-09-1019:20:22.648027"
280,364,3448.5,2.4,"left","2020-09-1019:20:22.648027"
